Membership No  Date Joined  Active  
    48459      2017-3-17    yes   
    63199      2016-2-20    no    
    92077      2020-10-2    yes   
    66826      2017-1-24    yes   
    21742      2020-8-17    no    
    62673      2018-4-9     no    
    74975      2017-7-25    yes   
    86779      2018-4-1     no    
    58671      2020-7-13    no    
    33562      2020-11-6    no    
    29142      2016-7-12    yes   
    26753      2015-11-16   no    
    32576      2018-4-15    no    
    34736      2019-1-3     yes   
    73125      2015-10-2    yes   
    27348      2016-12-24   no    
    46559      2018-8-12    no    
    35957      2016-11-10   yes   
    19935      2017-1-22    no    
    79330      2016-7-5     no    
